"filiere","diplome","domaine"
"SPC","DEUG","Genie Chimique & Materiaux"
"Physique Chimie","Licence","Genie Chimique & Materiaux"
"Physique Chimie","DEUG","Genie Chimique & Materiaux"
"Phys Chim","Licence","Genie Chimique & Materiaux"
"Phys Chim","DEUG","Genie Chimique & Materiaux"
"Sciences de la Matiere Physique et Chimie","Licence","Genie Chimique & Materiaux"
"Sciences de la Matiere Physique et Chimie","DEUG","Genie Chimique & Materiaux"
"SMPC","Licence","Genie Chimique & Materiaux"
"SMPC","DEUG","Genie Chimique & Materiaux"
"Sc Matiere PC","Licence","Genie Chimique & Materiaux"
"Sc Matiere PC","DEUG","Genie Chimique & Materiaux"
"sciences matiere PC","Licence","Genie Chimique & Materiaux"
"sciences matiere PC","DEUG","Genie Chimique & Materiaux"
"Tronc Commun Physique Chimie","Licence","Genie Chimique & Materiaux"
"Tronc Commun Physique Chimie","DEUG","Genie Chimique & Materiaux"
"Sciences de la Vie","Licence","Sciences & Recherche"
"Sciences de la Vie","DEUG","Sciences & Recherche"
"SV","Licence","Sciences & Recherche"
"SV","DEUG","Sciences & Recherche"
"Bio","Licence","Sciences & Recherche"
"Bio","DEUG","Sciences & Recherche"
"Biologie","Licence","Sciences & Recherche"
"Biologie","DEUG","Sciences & Recherche"
"Sciences Bio","Licence","Sciences & Recherche"
"Sciences Bio","DEUG","Sciences & Recherche"
"Sciences de la Vie et de la Terre","Licence","Sciences & Recherche"
"Sciences de la Vie et de la Terre","DEUG","Sciences & Recherche"
"SVT","Licence","Sciences & Recherche"
"SVT","DEUG","Sciences & Recherche"
"Sc Vie Terre","Licence","Sciences & Recherche"
"Sc Vie Terre","DEUG","Sciences & Recherche"
"sciences vie terre","Licence","Sciences & Recherche"
"sciences vie terre","DEUG","Sciences & Recherche"
"Biologie Geologie","Licence","Sciences & Recherche"
"Biologie Geologie","DEUG","Sciences & Recherche"
"Bio Geo","Licence","Sciences & Recherche"
"Bio Geo","DEUG","Sciences & Recherche"
"Sciences de la Vie et de l Environnement","Licence","Sciences & Recherche"
"Sciences de la Vie et de l Environnement","DEUG","Sciences & Recherche"
"SVE","Licence","Sciences & Recherche"
"SVE","DEUG","Sciences & Recherche"
"Bio Environnement","Licence","Sciences & Recherche"
"Bio Environnement","DEUG","Sciences & Recherche"
"Biologie Environnement","Licence","Sciences & Recherche"
"Biologie Environnement","DEUG","Sciences & Recherche"
"Sciences de la Terre et de l Univers","Licence","Sciences & Recherche"
"Sciences de la Terre et de l Univers","DEUG","Sciences & Recherche"
"STU","Licence","Sciences & Recherche"
"STU","DEUG","Sciences & Recherche"
"Geologie","Licence","Sciences & Recherche"
"Geologie","DEUG","Sciences & Recherche"
"Sc Terre Univers","Licence","Sciences & Recherche"
"Sc Terre Univers","DEUG","Sciences & Recherche"
"sciences terre univers","Licence","Sciences & Recherche"
"sciences terre univers","DEUG","Sciences & Recherche"
"Geosciences","Licence","Sciences & Recherche"
"Geosciences","DEUG","Sciences & Recherche"
"Sciences de la Terre","Licence","Sciences & Recherche"
"Sciences de la Terre","DEUG","Sciences & Recherche"
"ST","Licence","Sciences & Recherche"
"ST","DEUG","Sciences & Recherche"
"Sciences Geologiques","Licence","Sciences & Recherche"
"Sciences Geologiques","DEUG","Sciences & Recherche"
"Biochimie","Licence","Sciences & Recherche"
"Biochimie","DEUG","Sciences & Recherche"
"BCH","Licence","Sciences & Recherche"
"BCH","DEUG","Sciences & Recherche"
"Biochimie Fondamentale","Licence","Sciences & Recherche"
"Biochimie Fondamentale","DEUG","Sciences & Recherche"
"Biochemistry","Licence","Sciences & Recherche"
"Biochemistry","DEUG","Sciences & Recherche"
"Biologie Cellulaire et Moleculaire","Licence","Sciences & Recherche"
"Biologie Cellulaire et Moleculaire","DEUG","Sciences & Recherche"
"BCM","Licence","Sciences & Recherche"
"BCM","DEUG","Sciences & Recherche"
"Bio Cell Mol","Licence","Sciences & Recherche"
"Bio Cell Mol","DEUG","Sciences & Recherche"
"Biologie Moleculaire","Licence","Sciences & Recherche"
"Biologie Moleculaire","DEUG","Sciences & Recherche"
"Biologie des Organismes et Ecologie","Licence","Sciences & Recherche"
"Biologie des Organismes et Ecologie","DEUG","Sciences & Recherche"
"BOE","Licence","Sciences & Recherche"
"BOE","DEUG","Sciences & Recherche"
"Bio Ecologie","Licence","Sciences & Recherche"
"Bio Ecologie","DEUG","Sciences & Recherche"
"Microbiologie","Licence","Sciences & Recherche"
"Microbiologie","DEUG","Sciences & Recherche"
"Microbio","Licence","Sciences & Recherche"
"Microbio","DEUG","Sciences & Recherche"
"Physiologie Animale et Biologie des Organismes","Licence","Sciences & Recherche"
"Physiologie Animale et Biologie des Organismes","DEUG","Sciences & Recherche"
"PABO","Licence","Sciences & Recherche"
"PABO","DEUG","Sciences & Recherche"
"Bio Animale","Licence","Sciences & Recherche"
"Bio Animale","DEUG","Sciences & Recherche"
"Sciences Agronomiques","Licence","Agriculture & Agroalimentaire"
"Sciences Agronomiques","DEUG","Agriculture & Agroalimentaire"
"Agronomie","Licence","Agriculture & Agroalimentaire"
"Agronomie","DEUG","Agriculture & Agroalimentaire"
"agro","Licence","Agriculture & Agroalimentaire"
"agro","DEUG","Agriculture & Agroalimentaire"
"Sciences Agro","Licence","Agriculture & Agroalimentaire"
"Sciences Agro","DEUG","Agriculture & Agroalimentaire"
"Informatique","Licence","IT / Informatique"
"Informatique","DEUG","IT / Informatique"
"Info","Licence","IT / Informatique"
"Info","DEUG","IT / Informatique"
"Informatique Fondamentale","Licence","IT / Informatique"
"Informatique Fondamentale","DEUG","IT / Informatique"
"Computer Science","Licence","IT / Informatique"
"Computer Science","DEUG","IT / Informatique"
"CS","Licence","IT / Informatique"
"CS","DEUG","IT / Informatique"
"Mathematiques","Licence","Sciences & Recherche"
"Mathematiques","DEUG","Sciences & Recherche"
"Math","Licence","Sciences & Recherche"
"Math","DEUG","Sciences & Recherche"
"Mathematiques Pures","Licence","Sciences & Recherche"
"Mathematiques Pures","DEUG","Sciences & Recherche"
"Maths","Licence","Sciences & Recherche"
"Maths","DEUG","Sciences & Recherche"
"Mathematiques Fondamentales","Licence","Sciences & Recherche"
"Mathematiques Fondamentales","DEUG","Sciences & Recherche"
"Physique","Licence","Sciences & Recherche"
"Physique","DEUG","Sciences & Recherche"
"PHY","Licence","Sciences & Recherche"
"PHY","DEUG","Sciences & Recherche"
"Physique Fondamentale","Licence","Sciences & Recherche"
"Physique Fondamentale","DEUG","Sciences & Recherche"
"Physique Generale","Licence","Sciences & Recherche"
"Physique Generale","DEUG","Sciences & Recherche"
"Chimie","Licence","Genie Chimique & Materiaux"
"Chimie","DEUG","Genie Chimique & Materiaux"
"CHIM","Licence","Genie Chimique & Materiaux"
"CHIM","DEUG","Genie Chimique & Materiaux"
"Chimie Fondamentale","Licence","Genie Chimique & Materiaux"
"Chimie Fondamentale","DEUG","Genie Chimique & Materiaux"
"Chimie Generale","Licence","Genie Chimique & Materiaux"
"Chimie Generale","DEUG","Genie Chimique & Materiaux"
"Sciences Mathematiques Appliquees et Informatique","Licence","IT / Informatique"
"Sciences Mathematiques Appliquees et Informatique","DEUG","IT / Informatique"
"SMAI","Licence","IT / Informatique"
"SMAI","DEUG","IT / Informatique"
"Math Appli Info","Licence","IT / Informatique"
"Math Appli Info","DEUG","IT / Informatique"
"Maths Appli Informatique","Licence","IT / Informatique"
"Maths Appli Informatique","DEUG","IT / Informatique"
"Sciences Biologiques","Licence","Sciences & Recherche"
"Sciences Biologiques","DEUG","Sciences & Recherche"
"SB","Licence","Sciences & Recherche"
"SB","DEUG","Sciences & Recherche"
"Bio Sciences","Licence","Sciences & Recherche"
"Bio Sciences","DEUG","Sciences & Recherche"
"Biologie Generale","Licence","Sciences & Recherche"
"Biologie Generale","DEUG","Sciences & Recherche"
"Biologie et Geologie","Licence","Sciences & Recherche"
"Biologie et Geologie","DEUG","Sciences & Recherche"
"BG","Licence","Sciences & Recherche"
"BG","DEUG","Sciences & Recherche"
"Bio Geo","Licence","Sciences & Recherche"
"Bio Geo","DEUG","Sciences & Recherche"
"Biologie Geologie","Licence","Sciences & Recherche"
"Biologie Geologie","DEUG","Sciences & Recherche"
"Tronc Commun Sciences et Techniques","DEUST","Sciences & Recherche"
"TCST","DEUST","Sciences & Recherche"
"Tronc Commun Sciences","DEUST","Sciences & Recherche"
"TC Sciences","DEUST","Sciences & Recherche"
"TC Sc Tech","DEUST","Sciences & Recherche"
"Biologie Chimie Geologie","DEUST","Sciences & Recherche"
"BCG","DEUST","Sciences & Recherche"
"Tronc Commun BCG","DEUST","Sciences & Recherche"
"Bio Chim Geo","DEUST","Sciences & Recherche"
"Genie Informatique","Licence Sciences et Techniques","IT / Informatique"
"Genie Informatique","DEUST","IT / Informatique"
"GI","Licence Sciences et Techniques","IT / Informatique"
"GI","DEUST","IT / Informatique"
"Genie Info","Licence Sciences et Techniques","IT / Informatique"
"Genie Info","DEUST","IT / Informatique"
"Informatique Industrielle","Licence Sciences et Techniques","IT / Informatique"
"Informatique Industrielle","DEUST","IT / Informatique"
"Computer Engineering","Licence Sciences et Techniques","IT / Informatique"
"Computer Engineering","DEUST","IT / Informatique"
"Genie Electrique","Licence Sciences et Techniques","Electricite & Energie"
"Genie Electrique","DEUST","Electricite & Energie"
"GE","Licence Sciences et Techniques","Electricite & Energie"
"GE","DEUST","Electricite & Energie"
"Genie Elec","Licence Sciences et Techniques","Electricite & Energie"
"Genie Elec","DEUST","Electricite & Energie"
"Electrotechnique","Licence Sciences et Techniques","Electricite & Energie"
"Electrotechnique","DEUST","Electricite & Energie"
"Electricite Industrielle","Licence Sciences et Techniques","Electricite & Energie"
"Electricite Industrielle","DEUST","Electricite & Energie"
"Genie Electronique et Telecommunications","Licence Sciences et Techniques","Telecoms & Reseaux"
"Genie Electronique et Telecommunications","DEUST","Telecoms & Reseaux"
"GET","Licence Sciences et Techniques","Telecoms & Reseaux"
"GET","DEUST","Telecoms & Reseaux"
"Electronique Telecom","Licence Sciences et Techniques","Telecoms & Reseaux"
"Electronique Telecom","DEUST","Telecoms & Reseaux"
"Genie Electron Telecom","Licence Sciences et Techniques","Telecoms & Reseaux"
"Genie Electron Telecom","DEUST","Telecoms & Reseaux"
"Electronique et Telecoms","Licence Sciences et Techniques","Telecoms & Reseaux"
"Electronique et Telecoms","DEUST","Telecoms & Reseaux"
"Genie Mecanique","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Genie Mecanique","DEUST","Genie Mecanique & Industriel"
"GM","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"GM","DEUST","Genie Mecanique & Industriel"
"Genie Mec","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Genie Mec","DEUST","Genie Mecanique & Industriel"
"Mecanique Industrielle","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Mecanique Industrielle","DEUST","Genie Mecanique & Industriel"
"Mecanique","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Mecanique","DEUST","Genie Mecanique & Industriel"
"Genie Civil","Licence Sciences et Techniques","Genie Civil & BTP"
"Genie Civil","DEUST","Genie Civil & BTP"
"GC","Licence Sciences et Techniques","Genie Civil & BTP"
"GC","DEUST","Genie Civil & BTP"
"Genie Civ","Licence Sciences et Techniques","Genie Civil & BTP"
"Genie Civ","DEUST","Genie Civil & BTP"
"Travaux Publics","Licence Sciences et Techniques","Genie Civil & BTP"
"Travaux Publics","DEUST","Genie Civil & BTP"
"Construction","Licence Sciences et Techniques","Genie Civil & BTP"
"Construction","DEUST","Genie Civil & BTP"
"Genie Chimique","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Genie Chimique","DEUST","Genie Chimique & Materiaux"
"GCH","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"GCH","DEUST","Genie Chimique & Materiaux"
"Chimie Industrielle","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Chimie Industrielle","DEUST","Genie Chimique & Materiaux"
"Procedes Chimiques","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Procedes Chimiques","DEUST","Genie Chimique & Materiaux"
"Genie des Procedes","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Genie des Procedes","DEUST","Genie Mecanique & Industriel"
"GP","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"GP","DEUST","Genie Mecanique & Industriel"
"Procedes Industriels","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Procedes Industriels","DEUST","Genie Mecanique & Industriel"
"Genie Proc","Licence Sciences et Techniques","Genie Mecanique & Industriel"
"Genie Proc","DEUST","Genie Mecanique & Industriel"
"Genie de l Environnement","Licence Sciences et Techniques","Environnement & Energie Verte"
"Genie de l Environnement","DEUST","Environnement & Energie Verte"
"GEN","Licence Sciences et Techniques","Environnement & Energie Verte"
"GEN","DEUST","Environnement & Energie Verte"
"Environnement Industriel","Licence Sciences et Techniques","Environnement & Energie Verte"
"Environnement Industriel","DEUST","Environnement & Energie Verte"
"Sciences de l Environnement","Licence Sciences et Techniques","Environnement & Energie Verte"
"Sciences de l Environnement","DEUST","Environnement & Energie Verte"
"Genie Biologique et Agro-Alimentaire","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Genie Biologique et Agro-Alimentaire","DEUST","Agriculture & Agroalimentaire"
"GBAA","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"GBAA","DEUST","Agriculture & Agroalimentaire"
"Bio Agro","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Bio Agro","DEUST","Agriculture & Agroalimentaire"
"Agroalimentaire","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Agroalimentaire","DEUST","Agriculture & Agroalimentaire"
"IAA","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"IAA","DEUST","Agriculture & Agroalimentaire"
"Sciences et Techniques de l Ingenieur","Licence Sciences et Techniques","Sciences & Recherche"
"Sciences et Techniques de l Ingenieur","DEUST","Sciences & Recherche"
"STI","Licence Sciences et Techniques","Sciences & Recherche"
"STI","DEUST","Sciences & Recherche"
"Sc Tech Ing","Licence Sciences et Techniques","Sciences & Recherche"
"Sc Tech Ing","DEUST","Sciences & Recherche"
"Sciences Techniques Ingenieur","Licence Sciences et Techniques","Sciences & Recherche"
"Sciences Techniques Ingenieur","DEUST","Sciences & Recherche"
"Energie et Energies Renouvelables","Licence Sciences et Techniques","Electricite & Energie"
"Energie et Energies Renouvelables","DEUST","Electricite & Energie"
"EER","Licence Sciences et Techniques","Electricite & Energie"
"EER","DEUST","Electricite & Energie"
"Energies Renouvelables","Licence Sciences et Techniques","Electricite & Energie"
"Energies Renouvelables","DEUST","Electricite & Energie"
"ER","Licence Sciences et Techniques","Electricite & Energie"
"ER","DEUST","Electricite & Energie"
"Energie Renouvelable","Licence Sciences et Techniques","Electricite & Energie"
"Energie Renouvelable","DEUST","Electricite & Energie"
"Genie Energetique","Licence Sciences et Techniques","Electricite & Energie"
"Genie Energetique","DEUST","Electricite & Energie"
"Reseaux et Systemes de Communication","Licence Sciences et Techniques","Telecoms & Reseaux"
"Reseaux et Systemes de Communication","DEUST","Telecoms & Reseaux"
"RSC","Licence Sciences et Techniques","Telecoms & Reseaux"
"RSC","DEUST","Telecoms & Reseaux"
"Reseaux Telecom","Licence Sciences et Techniques","Telecoms & Reseaux"
"Reseaux Telecom","DEUST","Telecoms & Reseaux"
"Telecomunications","Licence Sciences et Techniques","Telecoms & Reseaux"
"Telecomunications","DEUST","Telecoms & Reseaux"
"Reseaux et Telecom","Licence Sciences et Techniques","Telecoms & Reseaux"
"Reseaux et Telecom","DEUST","Telecoms & Reseaux"
"Automatique et Informatique Industrielle","Licence Sciences et Techniques","Electronique & Automatique"
"Automatique et Informatique Industrielle","DEUST","Electronique & Automatique"
"AII","Licence Sciences et Techniques","Electronique & Automatique"
"AII","DEUST","Electronique & Automatique"
"Automatisme","Licence Sciences et Techniques","Electronique & Automatique"
"Automatisme","DEUST","Electronique & Automatique"
"Automatique","Licence Sciences et Techniques","Electronique & Automatique"
"Automatique","DEUST","Electronique & Automatique"
"Informatique Industrielle","Licence Sciences et Techniques","Electronique & Automatique"
"Informatique Industrielle","DEUST","Electronique & Automatique"
"Electronique Electrotechnique et Automatique","Licence Sciences et Techniques","Electronique & Automatique"
"Electronique Electrotechnique et Automatique","DEUST","Electronique & Automatique"
"EEA","Licence Sciences et Techniques","Electronique & Automatique"
"EEA","DEUST","Electronique & Automatique"
"Electronique Electrotechnique","Licence Sciences et Techniques","Electronique & Automatique"
"Electronique Electrotechnique","DEUST","Electronique & Automatique"
"Electro Elec Auto","Licence Sciences et Techniques","Electronique & Automatique"
"Electro Elec Auto","DEUST","Electronique & Automatique"
"Materiaux et Procedes","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Materiaux et Procedes","DEUST","Genie Chimique & Materiaux"
"MP","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"MP","DEUST","Genie Chimique & Materiaux"
"Science des Materiaux","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Science des Materiaux","DEUST","Genie Chimique & Materiaux"
"Materiaux Industriels","Licence Sciences et Techniques","Genie Chimique & Materiaux"
"Materiaux Industriels","DEUST","Genie Chimique & Materiaux"
"Physique et Applications","Licence Sciences et Techniques","Sciences & Recherche"
"Physique et Applications","DEUST","Sciences & Recherche"
"PA","Licence Sciences et Techniques","Sciences & Recherche"
"PA","DEUST","Sciences & Recherche"
"Physique Appli","Licence Sciences et Techniques","Sciences & Recherche"
"Physique Appli","DEUST","Sciences & Recherche"
"Physique Appliquee","Licence Sciences et Techniques","Sciences & Recherche"
"Physique Appliquee","DEUST","Sciences & Recherche"
"Mathematiques et Applications","Licence Sciences et Techniques","Sciences & Recherche"
"Mathematiques et Applications","DEUST","Sciences & Recherche"
"MA","Licence Sciences et Techniques","Sciences & Recherche"
"MA","DEUST","Sciences & Recherche"
"Maths Applications","Licence Sciences et Techniques","Sciences & Recherche"
"Maths Applications","DEUST","Sciences & Recherche"
"Mathematiques Appliquees Ing","Licence Sciences et Techniques","Sciences & Recherche"
"Mathematiques Appliquees Ing","DEUST","Sciences & Recherche"
"Sciences et Techniques de Gestion","Licence Sciences et Techniques","Management & Entrepreneuriat"
"Sciences et Techniques de Gestion","DEUST","Management & Entrepreneuriat"
"STG","Licence Sciences et Techniques","Management & Entrepreneuriat"
"STG","DEUST","Management & Entrepreneuriat"
"Gestion Technique","Licence Sciences et Techniques","Management & Entrepreneuriat"
"Gestion Technique","DEUST","Management & Entrepreneuriat"
"Technico-commercial","Licence Sciences et Techniques","Management & Entrepreneuriat"
"Technico-commercial","DEUST","Management & Entrepreneuriat"
"Informatique et Multimedia","Licence Sciences et Techniques","IT / Informatique"
"Informatique et Multimedia","DEUST","IT / Informatique"
"IM","Licence Sciences et Techniques","IT / Informatique"
"IM","DEUST","IT / Informatique"
"Multimedia","Licence Sciences et Techniques","IT / Informatique"
"Multimedia","DEUST","IT / Informatique"
"Infographie","Licence Sciences et Techniques","IT / Informatique"
"Infographie","DEUST","IT / Informatique"
"Web Design","Licence Sciences et Techniques","IT / Informatique"
"Web Design","DEUST","IT / Informatique"
"Technologie des Reseaux Informatiques","Licence Sciences et Techniques","IT / Informatique"
"Technologie des Reseaux Informatiques","DEUST","IT / Informatique"
"TRI","Licence Sciences et Techniques","IT / Informatique"
"TRI","DEUST","IT / Informatique"
"Reseaux Informatiques","Licence Sciences et Techniques","IT / Informatique"
"Reseaux Informatiques","DEUST","IT / Informatique"
"Reseaux","Licence Sciences et Techniques","IT / Informatique"
"Reseaux","DEUST","IT / Informatique"
"Administration Reseaux","Licence Sciences et Techniques","IT / Informatique"
"Administration Reseaux","DEUST","IT / Informatique"
"Electronique et Instrumentation","Licence Sciences et Techniques","Electronique & Automatique"
"Electronique et Instrumentation","DEUST","Electronique & Automatique"
"EI","Licence Sciences et Techniques","Electronique & Automatique"
"EI","DEUST","Electronique & Automatique"
"Instrumentation","Licence Sciences et Techniques","Electronique & Automatique"
"Instrumentation","DEUST","Electronique & Automatique"
"Electronique Instrumentale","Licence Sciences et Techniques","Electronique & Automatique"
"Electronique Instrumentale","DEUST","Electronique & Automatique"
"Genie Textile","Licence Sciences et Techniques","Industrie Textile & Mode"
"Genie Textile","DEUST","Industrie Textile & Mode"
"GT","Licence Sciences et Techniques","Industrie Textile & Mode"
"GT","DEUST","Industrie Textile & Mode"
"Textile","Licence Sciences et Techniques","Industrie Textile & Mode"
"Textile","DEUST","Industrie Textile & Mode"
"Habillement","Licence Sciences et Techniques","Industrie Textile & Mode"
"Habillement","DEUST","Industrie Textile & Mode"
"Genie Hab","Licence Sciences et Techniques","Industrie Textile & Mode"
"Genie Hab","DEUST","Industrie Textile & Mode"
"Biotechnologie","Licence Sciences et Techniques","Sciences & Recherche"
"Biotechnologie","DEUST","Sciences & Recherche"
"Biotech","Licence Sciences et Techniques","Sciences & Recherche"
"Biotech","DEUST","Sciences & Recherche"
"Sciences Biotechnologiques","Licence Sciences et Techniques","Sciences & Recherche"
"Sciences Biotechnologiques","DEUST","Sciences & Recherche"
"Genie Aeronautique","Licence Sciences et Techniques","Aeronautique & Spatial"
"Genie Aeronautique","DEUST","Aeronautique & Spatial"
"GAero","Licence Sciences et Techniques","Aeronautique & Spatial"
"GAero","DEUST","Aeronautique & Spatial"
"g aero","Licence Sciences et Techniques","Aeronautique & Spatial"
"g aero","DEUST","Aeronautique & Spatial"
"Aeronautique","Licence Sciences et Techniques","Aeronautique & Spatial"
"Aeronautique","DEUST","Aeronautique & Spatial"
"Avionique","Licence Sciences et Techniques","Aeronautique & Spatial"
"Avionique","DEUST","Aeronautique & Spatial"
"Sciences et Technologies de l Eau","Licence Sciences et Techniques","Genie Civil & BTP"
"Sciences et Technologies de l Eau","DEUST","Genie Civil & BTP"
"STE","Licence Sciences et Techniques","Genie Civil & BTP"
"STE","DEUST","Genie Civil & BTP"
"Hydraulique","Licence Sciences et Techniques","Genie Civil & BTP"
"Hydraulique","DEUST","Genie Civil & BTP"
"Eau et Environnement","Licence Sciences et Techniques","Genie Civil & BTP"
"Eau et Environnement","DEUST","Genie Civil & BTP"
"Sciences et Techniques de l Agroalimentaire","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Sciences et Techniques de l Agroalimentaire","DEUST","Agriculture & Agroalimentaire"
"STA","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"STA","DEUST","Agriculture & Agroalimentaire"
"Agroalimentaire Tech","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Agroalimentaire Tech","DEUST","Agriculture & Agroalimentaire"
"Technologie Alimentaire","Licence Sciences et Techniques","Agriculture & Agroalimentaire"
"Technologie Alimentaire","DEUST","Agriculture & Agroalimentaire"
"Sciences Economiques","Licence","Sciences Humaines & Sociales"
"SE","Licence","Sciences Humaines & Sociales"
"Eco","Licence","Sciences Humaines & Sociales"
"Economie","Licence","Sciences Humaines & Sociales"
"Sciences Eco","Licence","Sciences Humaines & Sociales"
"Economie Generale","Licence","Sciences Humaines & Sociales"
"Sciences de Gestion","Licence","Management & Entrepreneuriat"
"SG","Licence","Management & Entrepreneuriat"
"Gestion","Licence","Management & Entrepreneuriat"
"Management","Licence","Management & Entrepreneuriat"
"Sciences Gestion","Licence","Management & Entrepreneuriat"
"Gestion des Entreprises","Licence","Management & Entrepreneuriat"
"Sciences Economiques et Gestion","Licence","Management & Entrepreneuriat"
"SEG","Licence","Management & Entrepreneuriat"
"Eco et Gestion","Licence","Management & Entrepreneuriat"
"Sciences Eco Gestion","Licence","Management & Entrepreneuriat"
"Eco Gestion","Licence","Management & Entrepreneuriat"
"Droit Prive","Licence","Droit & Sciences Juridiques"
"DP","Licence","Droit & Sciences Juridiques"
"Droit Civil","Licence","Droit & Sciences Juridiques"
"Droit Priv","Licence","Droit & Sciences Juridiques"
"Private Law","Licence","Droit & Sciences Juridiques"
"Droit Public","Licence","Droit & Sciences Juridiques"
"DPub","Licence","Droit & Sciences Juridiques"
"Droit Pub","Licence","Droit & Sciences Juridiques"
"Public Law","Licence","Droit & Sciences Juridiques"
"Droit Admin","Licence","Droit & Sciences Juridiques"
"Droit des Affaires","Licence","Droit & Sciences Juridiques"
"DA","Licence","Droit & Sciences Juridiques"
"Droit Affaires","Licence","Droit & Sciences Juridiques"
"Business Law","Licence","Droit & Sciences Juridiques"
"Droit Commercial","Licence","Droit & Sciences Juridiques"
"Sciences Juridiques","Licence","Droit & Sciences Juridiques"
"SJ","Licence","Droit & Sciences Juridiques"
